,Temperature,ReactionCoordinate,Repeat,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,postTemperature,MaxJump,Valid
0,0.0,0.0,1,1,1,1,-2828.3785162465433,1.8561306952526989e-19,1.4322644885598669e-09,-3.851859888774472e-34,-7.531007572495296e-10,-7.531007572495296e-10,1.7293004248478179e-19,4.763916157373504e-13,True
1,0.0,0.0,1,1,1,1,-2828.3785162465433,1.8561306952526989e-19,1.4322644885598669e-09,-3.851859888774472e-34,-7.531007572495296e-10,-7.531007572495296e-10,1.7293004248478179e-19,4.763916157373504e-13,True
2,0.0,0.0,1,1,1,1,-2828.3785162465433,1.8561306952526989e-19,1.4322644885598669e-09,-3.851859888774472e-34,-7.531007572495296e-10,-7.531007572495296e-10,1.7293004248478179e-19,4.763916157373504e-13,True
3,0.0,0.0,1,1,1,1,-2828.3785162465433,1.8561306952526989e-19,1.4322644885598669e-09,-3.851859888774472e-34,-7.531007572495296e-10,-7.531007572495296e-10,1.7293004248478179e-19,4.763916157373504e-13,True
4,0.0,0.0,2,1,1,1,-2828.3785162465433,9.027986353569138e-21,1.4348230581215167e-09,-3.851859888774472e-34,-7.544460818664176e-10,-7.544460818664176e-10,1.986946799284034e-20,2.116997065359707e-13,True
5,0.0,0.0,2,1,1,1,-2828.3785162465433,9.027986353569138e-21,1.4348230581215167e-09,-3.851859888774472e-34,-7.544460818664176e-10,-7.544460818664176e-10,1.986946799284034e-20,2.116997065359707e-13,True
6,0.0,0.0,2,1,1,1,-2828.3785162465433,9.027986353569138e-21,1.4348230581215167e-09,-3.851859888774472e-34,-7.544460818664176e-10,-7.544460818664176e-10,1.986946799284034e-20,2.116997065359707e-13,True
7,0.0,0.0,2,1,1,1,-2828.3785162465433,9.027986353569138e-21,1.4348230581215167e-09,-3.851859888774472e-34,-7.544460818664176e-10,-7.544460818664176e-10,1.986946799284034e-20,2.116997065359707e-13,True
8,0.0,0.1,1,1,1,1,-2828.3538645256626,3.9961115033798185e-06,0.49344042394557175,2.7755575615628914e-17,-0.2650870268348321,-0.2650870268348321,1.565813258975375e-05,0.010950957902775175,True
9,0.0,0.1,1,1,1,1,-2828.3538645256626,3.9961115033798185e-06,0.49344042394557175,2.7755575615628914e-17,-0.2650870268348321,-0.2650870268348321,1.565813258975375e-05,0.010950957902775175,True
10,0.0,0.1,1,1,1,1,-2828.3538645256626,3.9961115033798185e-06,0.49344042394557175,2.7755575615628914e-17,-0.2650870268348321,-0.2650870268348321,1.565813258975375e-05,0.010950957902775175,True
11,0.0,0.1,1,1,1,1,-2828.3538645256626,3.9961115033798185e-06,0.49344042394557175,2.7755575615628914e-17,-0.2650870268348321,-0.2650870268348321,1.565813258975375e-05,0.010950957902775175,True
12,0.0,0.1,2,1,1,1,-2828.3538645256626,4.008552589752718e-06,0.4934404269388191,2.7755575615628914e-17,-0.2650870284428703,-0.2650870284428703,1.5681492310646447e-05,0.010950961639997868,True
13,0.0,0.1,2,1,1,1,-2828.3538645256626,4.008552589752718e-06,0.4934404269388191,2.7755575615628914e-17,-0.2650870284428703,-0.2650870284428703,1.5681492310646447e-05,0.010950961639997868,True
14,0.0,0.1,2,1,1,1,-2828.3538645256626,4.008552589752718e-06,0.4934404269388191,2.7755575615628914e-17,-0.2650870284428703,-0.2650870284428703,1.5681492310646447e-05,0.010950961639997868,True
15,0.0,0.1,2,1,1,1,-2828.3538645256626,4.008552589752718e-06,0.4934404269388191,2.7755575615628914e-17,-0.2650870284428703,-0.2650870284428703,1.5681492310646447e-05,0.010950961639997868,True
16,0.0,0.2,1,1,1,1,-2828.2875125539285,3.4301819944853904e-06,0.7964699605011818,0.0,-0.4034457981827921,-0.4034457981827921,1.3415140585864101e-05,0.0054254319572413084,True
17,0.0,0.2,1,1,1,1,-2828.2875125539285,3.4301819944853904e-06,0.7964699605011818,0.0,-0.4034457981827921,-0.4034457981827921,1.3415140585864101e-05,0.0054254319572413084,True
18,0.0,0.2,1,1,1,1,-2828.2875125539285,3.4301819944853904e-06,0.7964699605011818,0.0,-0.4034457981827921,-0.4034457981827921,1.3415140585864101e-05,0.0054254319572413084,True
19,0.0,0.2,1,1,1,1,-2828.2875125539285,3.4301819944853904e-06,0.7964699605011818,0.0,-0.4034457981827921,-0.4034457981827921,1.3415140585864101e-05,0.0054254319572413084,True
20,0.0,0.2,2,1,1,1,-2828.2875125539285,3.433316870062052e-06,0.796469972978319,0.0,-0.403445804502991,-0.403445804502991,1.3420661830938835e-05,0.005425426245880921,True
21,0.0,0.2,2,1,1,1,-2828.2875125539285,3.433316870062052e-06,0.796469972978319,0.0,-0.403445804502991,-0.403445804502991,1.3420661830938835e-05,0.005425426245880921,True
22,0.0,0.2,2,1,1,1,-2828.2875125539285,3.433316870062052e-06,0.796469972978319,0.0,-0.403445804502991,-0.403445804502991,1.3420661830938835e-05,0.005425426245880921,True
23,0.0,0.2,2,1,1,1,-2828.2875125539285,3.433316870062052e-06,0.796469972978319,0.0,-0.403445804502991,-0.403445804502991,1.3420661830938835e-05,0.005425426245880921,True
24,0.0,0.30000000000000004,1,1,1,1,-2828.2047362040544,1.7698227314198795e-06,0.7978181552404593,1.1102230246251565e-16,-0.4057176642044946,-0.4057176642044946,6.927488005842803e-06,0.004717245185405112,True
25,0.0,0.30000000000000004,1,1,1,1,-2828.2047362040544,1.7698227314198795e-06,0.7978181552404593,1.1102230246251565e-16,-0.4057176642044946,-0.4057176642044946,6.927488005842803e-06,0.004717245185405112,True
26,0.0,0.30000000000000004,1,1,1,1,-2828.2047362040544,1.7698227314198795e-06,0.7978181552404593,1.1102230246251565e-16,-0.4057176642044946,-0.4057176642044946,6.927488005842803e-06,0.004717245185405112,True
27,0.0,0.30000000000000004,1,1,1,1,-2828.2047362040544,1.7698227314198795e-06,0.7978181552404593,1.1102230246251565e-16,-0.4057176642044946,-0.4057176642044946,6.927488005842803e-06,0.004717245185405112,True
28,0.0,0.30000000000000004,2,1,1,1,-2828.2047362040544,1.7649500423720631e-06,0.7978181860638696,1.1102230246251565e-16,-0.405717679879247,-0.405717679879247,6.914002647781525e-06,0.004717291103796822,True
29,0.0,0.30000000000000004,2,1,1,1,-2828.2047362040544,1.7649500423720631e-06,0.7978181860638696,1.1102230246251565e-16,-0.405717679879247,-0.405717679879247,6.914002647781525e-06,0.004717291103796822,True
30,0.0,0.30000000000000004,2,1,1,1,-2828.2047362040544,1.7649500423720631e-06,0.7978181860638696,1.1102230246251565e-16,-0.405717679879247,-0.405717679879247,6.914002647781525e-06,0.004717291103796822,True
31,0.0,0.30000000000000004,2,1,1,1,-2828.2047362040544,1.7649500423720631e-06,0.7978181860638696,1.1102230246251565e-16,-0.405717679879247,-0.405717679879247,6.914002647781525e-06,0.004717291103796822,True
32,0.0,0.4,1,1,1,1,-2828.138263588125,4.601211511871773e-07,0.49825173765867065,0.0,-0.2525175947282335,-0.2525175947282335,1.7920992432877785e-06,0.0034973115423533535,True
33,0.0,0.4,1,1,1,1,-2828.138263588125,4.601211511871773e-07,0.49825173765867065,0.0,-0.2525175947282335,-0.2525175947282335,1.7920992432877785e-06,0.0034973115423533535,True
34,0.0,0.4,1,1,1,1,-2828.138263588125,4.601211511871773e-07,0.49825173765867065,0.0,-0.2525175947282335,-0.2525175947282335,1.7920992432877785e-06,0.0034973115423533535,True
35,0.0,0.4,1,1,1,1,-2828.138263588125,4.601211511871773e-07,0.49825173765867065,0.0,-0.2525175947282335,-0.2525175947282335,1.7920992432877785e-06,0.0034973115423533535,True
36,0.0,0.4,2,1,1,1,-2828.138263588125,8.018300271580864e-07,0.4982520813033154,2.7755575615628914e-17,-0.2525177688898321,-0.2525177688898321,2.240535827200682e-06,0.0034973735832253554,True
