,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
0,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
1,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
2,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
3,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
4,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
5,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
6,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
7,0.0,0.0,1,1,1,-473.18706907676176,2.114610430009687e-26,-101.49313018312917,0.0,1.0,5.27590184314363e-16,-473.18706907676153,4.641923127600492e-26,1.0673529575792947e-17,True,1
8,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
9,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
10,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
11,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
12,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
