ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,postT,preT,stdF
0.5,400,1,0.157088,0.000121464,-2828.11,1,-0.218837,1.02987,2.65449e-14,399.725,400.559,0.0940601
0.5,400,2,0.252817,9.73254e-05,-2828.11,1,-0.026499,0.911179,6.50224e-15,397.603,399.694,0.0854973
0.5,400,3,0.146931,0.000128888,-2828.11,1,-0.123281,1.00796,1.17118e-14,399.199,400.849,0.0591845
0.625,400,0,0.164139,0.00363758,-2828.14,1,-0.54276,1.08351,2.23557e-14,398.086,397.965,0.0638834
0.625,400,1,0.156972,0.00352964,-2828.14,1,-0.448601,0.924752,4.28418e-14,400.906,403.095,0.0430019
0.625,400,2,0.180479,0.00351768,-2828.14,1,-0.627469,1.01325,8.47116e-15,400.832,402.591,0.0592864
0.625,400,3,0.14726,0.00358669,-2828.14,1,-0.47268,1.1099,2.07976e-14,399.928,398.006,0.0310984
0.75,400,0,0.156154,0.0049931,-2828.23,1,-0.708261,0.963979,1.52516e-14,400.838,400.597,0.0409367
0.75,400,1,0.169501,0.00494919,-2828.23,1,-0.537239,0.978519,1.82358e-14,398.723,398.524,0.0646792
0.75,400,2,0.276692,0.00484366,-2828.23,1,-0.563695,0.880184,1.98517e-14,399.883,399.6,0.136079
0.75,400,3,0.188974,0.00497127,-2828.23,1,-0.606118,0.915289,5.66979e-15,400.701,401.078,0.0378026
0.875,400,0,0.143387,0.0100154,-2828.33,1,-0.44745,0.553369,7.26283e-15,401.924,400.09,0.0402113
0.875,400,1,0.141405,0.0100142,-2828.33,1,-0.382419,0.551435,1.6975e-14,400.438,401.113,0.101103
0.875,400,2,0.17261,0.0100026,-2828.33,1,-0.625449,1.21266,2.86123e-14,398.121,402.143,0.0635363
0.875,400,3,0.149496,0.0100002,-2828.33,1,-0.707565,1.70936,1.41844e-14,401.096,398.84,0.222614
1,400,0,0.162419,0.000102871,-2828.38,1,-0.0358381,1,5.15141e-14,401.753,397.397,0.0766901
1,400,1,0.156967,5.81967e-05,-2828.38,1,0.230819,1,1.8093e-14,399.387,402.557,0.0607238
1,400,2,0.156438,0.000109164,-2828.38,1,0.0305971,1,1.16931e-14,400.742,397.911,0.0954965
1,400,3,0.142429,0.00010417,-2828.38,1,-0.149302,1,1.79486e-14,397.145,397.98,0.0686726
