ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,postT,preT,stdF
0.5,0,0,2.0032e-10,2.29495e-10,-2828.11,1,9.7554e-12,1,1.9361e-14,6.30152e-20,1.96412e-20,0
0.5,0,1,2.0032e-10,2.29495e-10,-2828.11,1,9.7554e-12,1,1.9361e-14,6.30152e-20,1.96412e-20,0
0.5,0,2,2.0032e-10,2.29495e-10,-2828.11,1,9.7554e-12,1,1.9361e-14,6.30152e-20,1.96412e-20,0
0.5,0,3,2.0032e-10,2.29495e-10,-2828.11,1,9.7554e-12,1,1.9361e-14,6.30152e-20,1.96412e-20,0
0.625,0,0,0.00340213,0.00354704,-2828.14,1,-0.516144,1.00827,8.83717e-15,3.7823e-09,7.7196e-06,0
0.625,0,1,0.00340213,0.00354704,-2828.14,1,-0.516144,1.00827,8.83717e-15,3.7823e-09,7.7196e-06,0
0.625,0,2,0.00340213,0.00354704,-2828.14,1,-0.516144,1.00827,8.83717e-15,3.7823e-09,7.7196e-06,0
0.625,0,3,0.00340213,0.00354704,-2828.14,1,-0.516144,1.00827,8.83717e-15,3.7823e-09,7.7196e-06,0
0.75,0,0,0.00441522,0.00490968,-2828.23,1,-0.866087,1.01275,1.12948e-14,5.47159e-09,3.31112e-05,1.11022e-16
0.75,0,1,0.00441522,0.00490968,-2828.23,1,-0.866087,1.01275,1.12948e-14,5.47159e-09,3.31112e-05,1.11022e-16
0.75,0,2,0.00441522,0.00490968,-2828.23,1,-0.866087,1.01275,1.12948e-14,5.47159e-09,3.31112e-05,1.11022e-16
0.75,0,3,0.00441522,0.00490968,-2828.23,1,-0.866087,1.01275,1.12948e-14,5.47159e-09,3.31112e-05,1.11022e-16
0.875,0,0,0.00796486,0.0100097,-2828.33,1,-0.736914,1.14894,2.13414e-14,2.84332e-09,2.99511e-05,0
0.875,0,1,0.00796486,0.0100097,-2828.33,1,-0.736914,1.14894,2.13414e-14,2.84332e-09,2.99511e-05,0
0.875,0,2,0.00796486,0.0100097,-2828.33,1,-0.736914,1.14894,2.13414e-14,2.84332e-09,2.99511e-05,0
0.875,0,3,0.00796486,0.0100097,-2828.33,1,-0.736914,1.14894,2.13414e-14,2.84332e-09,2.99511e-05,0
1,0,0,1.59002e-10,2.00463e-10,-2828.38,1,-2.14416e-09,1,3.95834e-13,2.19387e-20,8.86457e-21,0
1,0,1,1.59002e-10,2.00463e-10,-2828.38,1,-2.14416e-09,1,3.95834e-13,2.19387e-20,8.86457e-21,0
1,0,2,1.59002e-10,2.00463e-10,-2828.38,1,-2.14416e-09,1,3.95834e-13,2.19387e-20,8.86457e-21,0
1,0,3,1.59002e-10,2.00463e-10,-2828.38,1,-2.14416e-09,1,3.95834e-13,2.19387e-20,8.86457e-21,0
0,200,0,0.0954211,0.000100147,-2828.38,1,0.239192,1,5.5915e-15,200.322,199.622,0.0130491
0,200,1,0.0993441,9.82879e-05,-2828.38,1,-0.236625,1,6.86974e-15,200.725,198.778,0.034955
0,200,2,0.103299,8.89953e-05,-2828.38,1,0.128753,1,1.46436e-14,199.81,200.956,0.066395
0,200,3,0.121016,9.79155e-05,-2828.38,1,-0.0120181,1,5.90715e-14,198.652,200.648,0.0366673
0.125,200,0,0.0977834,0.0100178,-2828.33,1,0.758645,1.43616,1.72562e-14,199.999,200.688,0.046464
0.125,200,1,0.105295,0.0100114,-2828.33,1,0.726471,1.29744,2.32033e-14,199.392,199.766,0.0228445
0.125,200,2,0.117447,0.0100184,-2828.33,1,0.656579,1.16004,1.58708e-14,199.483,199.401,0.022017
0.125,200,3,0.13758,0.00999168,-2828.33,1,0.531856,0.872756,5.20442e-15,199.285,199.619,0.0142495
0.25,200,0,0.119888,0.0049384,-2828.23,1,0.793474,1.06605,2.05997e-14,199.036,199.265,0.0167244
0.25,200,1,0.109569,0.00494122,-2828.23,1,0.730255,0.962826,4.7574e-15,199.873,199.821,0.00899708
0.25,200,2,0.118822,0.00495954,-2828.23,1,0.809741,1.00218,5.34915e-15,200.679,200.104,0.0344991
0.25,200,3,0.0928328,0.0050101,-2828.23,1,0.869444,1.04523,3.85599e-15,199.593,200.489,0.018479
0.375,200,0,0.116833,0.00349059,-2828.14,1,0.449628,0.855161,3.37271e-14,199.457,199.761,0.00933246
0.375,200,1,0.0939669,0.00354232,-2828.14,1,0.533756,1.02143,1.83259e-14,200.351,200.008,0.0123456
0.375,200,2,0.113574,0.00362347,-2828.14,1,0.394016,0.949594,2.73886e-14,198.883,200.806,0.0187
0.375,200,3,0.0987183,0.00350467,-2828.14,1,0.532547,0.946388,2.34899e-14,199.453,198.502,0.0158817
0.5,200,0,0.112538,7.34703e-05,-2828.11,1,-0.0133696,1.01979,5.27775e-15,199.473,199.114,0.0124284
0.5,200,1,0.105468,0.000124813,-2828.11,1,-0.0828841,1.02177,1.40611e-14,199.873,200.276,0.0187235
0.5,200,2,0.105031,0.000105836,-2828.11,1,-0.00646483,0.954852,1.03005e-14,198.813,199.857,0.0102728
0.5,200,3,0.100478,9.02418e-05,-2828.11,1,-0.0487668,1.00705,1.8709e-14,199.584,200.422,0.0138966
0.625,200,0,0.113083,0.00364607,-2828.14,1,-0.564534,1.0595,9.14773e-15,199.015,199,0.015393
0.625,200,1,0.106779,0.00353054,-2828.14,1,-0.485848,0.948051,1.7185e-14,200.471,201.56,0.0111429
0.625,200,2,0.122265,0.00350943,-2828.14,1,-0.584678,1.00823,2.85474e-14,200.428,201.286,0.0139816
0.625,200,3,0.100502,0.00359763,-2828.14,1,-0.531287,1.06949,6.94639e-15,199.963,199.024,0.0081476
0.75,200,0,0.106541,0.00492908,-2828.23,1,-0.781573,0.986271,2.79819e-14,200.448,200.323,0.0116548
0.75,200,1,0.118091,0.00494067,-2828.23,1,-0.748154,0.998619,1.40746e-14,199.366,199.288,0.0140422
0.75,200,2,0.10839,0.00497135,-2828.23,1,-0.774513,0.975012,6.41813e-15,199.932,199.764,0.0251364
0.75,200,3,0.0967511,0.00495874,-2828.23,1,-0.792252,0.967535,7.3955e-15,200.343,200.563,0.0125449
0.875,200,0,0.0986018,0.0100789,-2828.33,1,-0.540429,0.739591,1.00633e-14,200.971,200.048,0.0150185
0.875,200,1,0.0973072,0.0100568,-2828.33,1,-0.506131,0.737361,9.6296e-15,200.242,200.579,0.041716
0.875,200,2,0.117596,0.00999632,-2828.33,1,-0.685034,1.1722,2.66838e-14,199.062,201.09,0.0179973
0.875,200,3,0.104514,0.0100039,-2828.33,1,-0.805963,1.53369,8.92822e-15,200.543,199.429,0.0410574
1,200,0,0.111379,6.42702e-05,-2828.38,1,-0.0404185,1,3.25078e-15,200.88,198.695,0.0279202
1,200,1,0.106475,8.43488e-05,-2828.38,1,0.118856,1,1.05639e-14,199.706,201.282,0.0248655
1,200,2,0.108092,0.000113733,-2828.38,1,0.0173258,1,2.31754e-14,200.376,198.979,0.0374466
1,200,3,0.0992637,7.98119e-05,-2828.38,1,-0.0976871,1,2.99609e-15,198.56,198.99,0.0226388
