ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,postT,preT,stdF
0,0,0,1.58989e-10,2.00464e-10,-2828.38,1,2.14434e-09,1,4.60673e-13,2.19329e-20,8.86458e-21,-7.70372e-34
0,0,1,1.58989e-10,2.00464e-10,-2828.38,1,2.14434e-09,1,4.60673e-13,2.19329e-20,8.86458e-21,-7.70372e-34
0,0,2,1.58989e-10,2.00464e-10,-2828.38,1,2.14434e-09,1,4.60673e-13,2.19329e-20,8.86458e-21,-7.70372e-34
0,0,3,1.58989e-10,2.00464e-10,-2828.38,1,2.14434e-09,1,4.60673e-13,2.19329e-20,8.86458e-21,-7.70372e-34
0.125,0,0,0.00796486,0.0100097,-2828.33,1,0.736914,1.14894,1.43826e-14,2.84332e-09,2.99511e-05,2.22045e-16
0.125,0,1,0.00796486,0.0100097,-2828.33,1,0.736914,1.14894,1.43826e-14,2.84332e-09,2.99511e-05,2.22045e-16
0.125,0,2,0.00796486,0.0100097,-2828.33,1,0.736914,1.14894,1.43826e-14,2.84332e-09,2.99511e-05,2.22045e-16
0.125,0,3,0.00796486,0.0100097,-2828.33,1,0.736914,1.14894,1.43826e-14,2.84332e-09,2.99511e-05,2.22045e-16
0.25,0,0,0.00441522,0.00490968,-2828.23,1,0.866087,1.01275,1.38268e-14,5.47159e-09,3.31112e-05,0
0.25,0,1,0.00441522,0.00490968,-2828.23,1,0.866087,1.01275,1.38268e-14,5.47159e-09,3.31112e-05,0
0.25,0,2,0.00441522,0.00490968,-2828.23,1,0.866087,1.01275,1.38268e-14,5.47159e-09,3.31112e-05,0
0.25,0,3,0.00441522,0.00490968,-2828.23,1,0.866087,1.01275,1.38268e-14,5.47159e-09,3.31112e-05,0
0.375,0,0,0.00340213,0.00354704,-2828.14,1,0.516144,1.00827,1.30464e-14,3.7823e-09,7.7196e-06,-5.55112e-17
0.375,0,1,0.00340213,0.00354704,-2828.14,1,0.516144,1.00827,1.30464e-14,3.7823e-09,7.7196e-06,-5.55112e-17
0.375,0,2,0.00340213,0.00354704,-2828.14,1,0.516144,1.00827,1.30464e-14,3.7823e-09,7.7196e-06,-5.55112e-17
0.375,0,3,0.00340213,0.00354704,-2828.14,1,0.516144,1.00827,1.30464e-14,3.7823e-09,7.7196e-06,-5.55112e-17
