,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
0,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
1,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
2,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
3,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
4,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
5,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
6,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
7,0.0,0.0,1,1,1,-484.0123511597723,4.242510063246487e-06,-2.728553288735092,0.0,0.9999999999997685,1.0705540181218852e-15,-484.01753189608786,4.061409007254366e-06,0.28598509579791603,True,1
8,0.0,0.125,1,1,1,-484.26720503050893,3.4294949656446922e-06,-1.491568819431295,0.0,1.0000000000000346,2.6880481286321857e-15,-484.2739317697661,3.305105939984433e-06,0.16685444214419348,True,1
9,0.0,0.125,1,1,1,-484.26720503050893,3.4294949656446922e-06,-1.491568819431295,0.0,1.0000000000000346,2.6880481286321857e-15,-484.2739317697661,3.305105939984433e-06,0.16685444214419348,True,1
